antecedents,consequents,support,confidence,lift
"No Screening Questions, Suspicious Keywords Present","Fraudulent, Salary Not Mentioned, Missing Logo, Missing Company Profile",0.005984340044742729,0.4068441064638783,14.99870644035906
"No Screening Questions, Suspicious Keywords Present, Salary Not Mentioned","Fraudulent, Missing Logo",0.005984340044742729,0.48416289592760176,14.848769432565213
"No Screening Questions, Suspicious Keywords Present","Fraudulent, Missing Logo, Salary Not Mentioned",0.005984340044742729,0.4068441064638783,14.815422858603144
"Suspicious Keywords Present, Missing Logo, Missing Company Profile",Fraudulent,0.0063758389261744965,0.7169811320754718,14.803259401281103
"No Screening Questions, Suspicious Keywords Present, Missing Logo",Fraudulent,0.005984340044742729,0.6948051948051948,14.345400557871688
"Suspicious Keywords Present, Missing Logo, Salary Not Mentioned",Fraudulent,0.006319910514541387,0.6932515337423313,14.313322659714647
"Suspicious Keywords Present, Missing Company Profile",Fraudulent,0.0065995525727069355,0.6555555555555557,13.535026943802928
"Suspicious Keywords Present, Missing Logo",Fraudulent,0.0063758389261744965,0.6298342541436465,13.003968203335335
"No Screening Questions, Suspicious Keywords Present","Fraudulent, Missing Company Profile",0.006208053691275168,0.4220532319391635,12.855727064859018
"No Screening Questions, Suspicious Keywords Present","Fraudulent, Missing Logo, Missing Company Profile",0.005984340044742729,0.4068441064638783,12.717434656598153
"No Screening Questions, Suspicious Keywords Present","Fraudulent, Missing Logo",0.005984340044742729,0.4068441064638783,12.477483059303848
"Suspicious Keywords Present, Salary Not Mentioned","Fraudulent, No Screening Questions, Missing Company Profile",0.006208053691275168,0.34049079754601225,12.47535954943176
"Suspicious Keywords Present, Salary Not Mentioned","Fraudulent, No Screening Questions, Missing Logo, Missing Company Profile",0.005984340044742729,0.3282208588957055,12.200808642526434
"Suspicious Keywords Present, Salary Not Mentioned","Fraudulent, No Screening Questions, Missing Logo",0.005984340044742729,0.3282208588957055,11.97671215725554
"No Screening Questions, Suspicious Keywords Present","Fraudulent, Salary Not Mentioned",0.006263982102908278,0.4258555133079848,11.381609234599056
"Suspicious Keywords Present, Salary Not Mentioned","Fraudulent, Missing Company Profile",0.006543624161073826,0.3588957055214724,10.931950962050982
"Suspicious Keywords Present, Salary Not Mentioned","Fraudulent, Missing Logo, Missing Company Profile",0.006319910514541387,0.34662576687116564,10.835085160238533
"Suspicious Keywords Present, Salary Not Mentioned","Fraudulent, Missing Logo",0.006319910514541387,0.34662576687116564,10.630649591177429
"No Screening Questions, Suspicious Keywords Present, Salary Not Mentioned",Fraudulent,0.006263982102908278,0.5067873303167421,10.46346127720941
"Suspicious Keywords Present, Salary Not Mentioned","Fraudulent, No Screening Questions",0.006263982102908278,0.34355828220858897,9.972113775794757
"No Screening Questions, Suspicious Keywords Present",Fraudulent,0.006767337807606264,0.4600760456273764,9.499029671844678
"Suspicious Keywords Present, Salary Not Mentioned",Fraudulent,0.006823266219239374,0.37423312883435583,7.726660904801712
Suspicious Keywords Present,Fraudulent,0.0074384787472035795,0.30227272727272725,6.240919588494646
